sku,field,ua_or_diff,ru_or_bad,url
2119479507,descr_full,br: UA=1/RU=0; div: UA=0/RU=1; p: UA=6/RU=7; span: UA=0/RU=1,len(UA)=1538 len(RU)=1548,https://labresta.com.ua/kholodylna-hirka-tefcold-pc1870b-rehal/
2119540290,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=961 len(RU)=982,https://labresta.com.ua/kholodylna-hirka-tefcold-md1902b-rehal/
2119549736,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1478 len(RU)=1490,https://labresta.com.ua/kholodylna-hirka-tefcold-extra1450cd-rehal/
2119555132,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1080 len(RU)=1078,https://labresta.com.ua/kholodylna-hirka-tefcold-mcx130m-rehal/
2119562366,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1404 len(RU)=1414,https://labresta.com.ua/kholodylna-hirka-tefcold-md1902x-rehal/
2119563960,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1541 len(RU)=1551,https://labresta.com.ua/kholodylna-hirka-tefcold-pc2500b-rehal/
2119566232,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1482 len(RU)=1493,https://labresta.com.ua/kholodylna-hirka-tefcold-extra1875cd-rehal/
2119569137,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1482 len(RU)=1493,https://labresta.com.ua/kholodylna-hirka-tefcold-extra2500cd-rehal/
2119571791,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1329 len(RU)=1346,https://labresta.com.ua/morozylna-hirka-tefcold-extra1250fd-rehal/
2180163592,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1130 len(RU)=1132,https://labresta.com.ua/vitryna-kholodylna-tefcold-vk33-140/
2190260660,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=448 len(RU)=455,https://labresta.com.ua/vitryna-kholodylna-goodfood-rtw120l5/
2190261934,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=527 len(RU)=550,https://labresta.com.ua/vitryna-kholodylna-goodfood-rtw160l5/
2209976392,descr_full,strong: UA=1/RU=0,len(UA)=658 len(RU)=692,https://labresta.com.ua/vitryna-kholodylna-goodfood-rtw235l/
2209993921,descr_full,strong: UA=1/RU=0,len(UA)=597 len(RU)=639,https://labresta.com.ua/vitryna-kholodylna-goodfood-rtw295l5/
